plant_name,user_level,scientific_name,tunisian_name,plant_type,description,watering,light,temperature,humidity,fertilizer,misting,pruning
aloe_vera,debutant,Aloe vera,صبار الألوة,Succulente d'intérieur,Plante très résistante et facile pour débutant.,Arroser toutes les 2 à 3 semaines quand le sol est bien sec.,"Lumière vive indirecte, soleil doux possible le matin.","18–26°C, protéger du froid.",Tolère très bien l'air sec.,Engrais léger pour plantes vertes une fois par mois au printemps et en été.,Brumisation inutile.,Retirer les feuilles sèches à la base.
areca_palm,debutant,Dypsis lutescens,نخلة أريكا,Palmier d'intérieur,Palmier décoratif qui aime la lumière douce.,"Arroser quand le dessus du sol sèche, environ 1 fois par semaine.","Lumière vive sans soleil direct, supporte la mi-ombre.","18–25°C, éviter le froid.",Apprécie une humidité légèrement élevée.,Engrais plantes vertes toutes les 2 à 3 semaines au printemps et en été.,Brumiser légèrement si l'air est sec.,Couper les feuilles jaunes ou sèches.
basil,debutant,Ocimum basilicum,حبق,Plante aromatique,Aromatique de cuisine qui aime chaleur et lumière.,"Garder le sol légèrement humide, sans eau stagnante.",Lumière vive avec quelques heures de soleil doux.,"18–30°C, éviter le froid.",Humidité normale suffisante.,Engrais doux aromatiques toutes les 2 à 3 semaines en croissance.,Brumisation légère possible si air très sec.,Pincer les extrémités et enlever les fleurs.
bougainvillea,debutant,Bougainvillea spectabilis,جهنمية,Plante grimpante fleurie,Grimpante très fleurie idéale en extérieur.,"Arroser régulièrement en été, laisser sécher légèrement entre deux arrosages.",Plein soleil pour bien fleurir.,"Aime la chaleur, ne supporte pas le gel.","Humidité extérieure normale, sol bien drainé.",Engrais plantes fleuries toutes les 2 à 4 semaines en saison.,Brumisation non nécessaire.,Tailler après floraison pour compacter et stimuler les pousses.
cactus,debutant,Cactaceae sp.,صبار,Cactus d'intérieur,Plante très résistante qui aime le sec.,"Arroser très peu, toutes les 3 à 4 semaines, sol complètement sec.",Plein soleil ou lumière très vive.,"15–30°C, protéger du gel.",Tolère parfaitement l'air sec.,Engrais spécial cactus une fois par mois au printemps et en été.,Brumisation inutile.,Enlever seulement les parties sèches ou abîmées.
camellia_japonica,debutant,Camellia japonica,كاميليا,Arbuste à fleurs,"Arbuste à grandes fleurs, aime la fraîcheur.","Garder le sol légèrement humide, sans le détremper.","Mi-ombre ou lumière douce, éviter le soleil de midi.","10–20°C, supporte mal les fortes chaleurs.",Apprécie une humidité modérée à élevée.,Engrais terre de bruyère au printemps après floraison.,Brumiser légèrement si l'air est sec.,Tailler légèrement après floraison.
chamomile,debutant,Matricaria chamomilla,بابونج,Plante médicinale,Petite plante aux fleurs blanches et jaunes.,Arroser quand la surface du sol est sèche.,Plein soleil ou lumière très vive.,15–25°C.,Humidité normale suffisante.,Engrais léger une fois par mois en pot.,Brumisation inutile.,Couper les fleurs fanées pour encourager la floraison.
damask_rose,debutant,Rosa × damascena,وردة دمشقية,Rosier parfumé,Rosier ancien très parfumé.,Arroser régulièrement pour garder le sol légèrement humide.,Plein soleil.,"Climat extérieur doux, protéger des fortes gelées.",Humidité extérieure normale.,Engrais rosiers au printemps puis en milieu d'été.,Brumisation non nécessaire.,Tailler en fin d'hiver pour stimuler la floraison.
grape,debutant,Vitis vinifera,عنب,Arbre fruitier ,Plante grimpante produisant des raisins.,Arroser surtout la première année et en période très sèche.,Plein soleil.,Préfère les climats doux.,"Humidité extérieure normale, éviter l'eau stagnante.",Engrais organique au printemps.,Brumisation non nécessaire.,Tailler en hiver pour contrôler la taille et la production.
hibiscus,debutant,Hibiscus rosa-sinensis,كركديه,Arbuste fleuri ,Arbuste tropical à grandes fleurs colorées.,"Garder le sol légèrement humide, arroser plus en été.",Lumière vive avec soleil doux.,"18–28°C, éviter le froid.",Apprécie une humidité moyenne à élevée.,Engrais plantes fleuries toutes les 2 semaines en saison.,Brumiser légèrement si l'air est sec.,Tailler légèrement au printemps pour compacter la plante.
