plant_name,user_level,scientific_name,tunisian_name,plant_type,description,watering,light,temperature,humidity,fertilizer,misting,pruning
aloe_vera,beginner,Aloe vera,صبار الألوة,Indoor • Succulent • Air purifying,"Aloe vera is a resilient succulent with thick, fleshy leaves filled with soothing gel. It is perfect for beginners and adapts well to indoor conditions.","Water every 2–3 weeks, allowing the soil to dry out completely between waterings. Reduce watering in winter to once every 4 weeks.",Bright indirect light; tolerates some direct morning sun but avoid harsh midday sun.,18–26°C. Protect from cold drafts and frost.,Low to medium humidity. Normal room humidity is sufficient.,Feed with a diluted cactus or succulent fertilizer every 4–6 weeks in spring and summer. Do not fertilize in winter.,No misting needed. Keep the leaves dry to avoid rot.,Remove dry or damaged leaves at the base as needed.
areca_palm,beginner,Dypsis lutescens,نخلة أريكا,Indoor • Air purifying,"Areca palm is an elegant indoor palm with soft, arching fronds. It creates a tropical atmosphere and is known for improving indoor air quality.","Water once a week in spring and summer, keeping the soil slightly moist but not soggy. In winter, water every 10–14 days.",Bright indirect light. Avoid direct sun which can burn the fronds.,18–27°C. Avoid cold drafts and sudden temperature changes.,Medium to high humidity. Prefers a slightly humid environment.,Feed every 4 weeks in spring and summer with a balanced liquid fertilizer. Reduce or stop fertilization in autumn and winter.,Lightly mist the foliage 1–2 times per week if the air is dry to prevent brown tips.,Cut off yellow or brown fronds at the base with clean scissors.
basil,beginner,Ocimum basilicum,حبق,Indoor • Aromatic ,Basil is a fragrant culinary herb with tender green leaves. It grows quickly and is ideal for windowsill gardens and fresh cooking.,"Water every 2–3 days in warm weather, keeping the soil evenly moist but not waterlogged. Check the top 2 cm of soil; if dry, it is time to water.","At least 5–6 hours of bright light per day, ideally on a sunny windowsill.",18–28°C. Protect from cold air and temperatures below 12°C.,Medium humidity. Avoid very dry air for long periods.,Feed every 2–3 weeks with a light dose of balanced liquid fertilizer during active growth.,Optional light misting in very dry environments; avoid wetting the leaves late at night.,Regularly pinch the tips above a pair of leaves to keep the plant bushy and delay flowering.
bougainvillea,intermediate,Bougainvillea spectabilis,جهنمية,Outdoor • Flowering • Decorative,"Bougainvillea is a vigorous climbing shrub with bright, papery bracts. It is ideal for sunny terraces and garden walls in warm climates.","Water deeply once a week during active growth, allowing the soil to dry slightly between waterings. In cooler months, water every 2–3 weeks.",Full sun for at least 5–6 hours per day to encourage abundant flowering.,15–30°C. Sensitive to frost; protect or overwinter indoors in cold regions.,Tolerates normal outdoor humidity; prefers good air circulation.,Feed every 4 weeks in spring and summer with a fertilizer rich in potassium to support flowering.,No misting required. Keep foliage dry to reduce disease risk.,Prune after the main flowering period to control size and encourage new flowering shoots.
cactus,beginner,Cactaceae sp.,صبار,Indoor • Succulent,Cactus is a slow-growing succulent adapted to dry and sunny environments. It is very low-maintenance and ideal for busy or beginner plant owners.,"Water every 3–4 weeks in spring and summer. Always let the soil dry completely between waterings. In winter, water only once every 5–6 weeks.","Very bright light with several hours of direct sun each day, if possible.",18–30°C in the growing season; can tolerate cooler (10–15°C) in winter if kept dry.,Low humidity. Dry indoor air is perfect.,Feed with a cactus fertilizer once every 6 weeks during spring and summer. Do not fertilize in autumn and winter.,No misting. Keep stems dry to avoid rot.,Pruning is rarely needed; remove only dead or damaged parts carefully.
camellia_japonica,intermediate,Camellia japonica,كاميليا,Outdoor • Flowering ,Camellia japonica is an evergreen shrub with glossy leaves and elegant winter or spring flowers. It brings color to shaded or semi-shaded areas of the garden.,"Water 1–2 times per week in spring and summer, keeping the soil consistently moist but not soggy. Reduce to once every 10–14 days in winter, depending on rainfall.",Bright shade or filtered light. Avoid harsh midday sun on hot days.,10–24°C. Protect from strong frost and drying winds.,Medium humidity. Mulch the soil to keep roots cool and moist.,Use an acid-loving plant fertilizer every 4–6 weeks from spring to mid-summer. Avoid high-lime products.,"Occasional light misting on hot, dry days can help, but avoid wetting flowers.",Lightly prune after flowering to shape the bush and remove weak or crossing branches.
chamomile,beginner,Matricaria chamomilla,بابونج,Outdoor • Medicinal • Relaxing,Chamomile is a delicate herb with small daisy-like flowers. It is often used for calming herbal teas and attracts pollinators to the garden.,"Water every 3–4 days in warm weather, keeping the soil lightly moist. Allow the top layer of soil to dry slightly between waterings.","Full sun to light partial shade, with at least 4–5 hours of sun per day.",12–25°C. Tolerates mild cool nights.,Average outdoor humidity is suitable. Ensure good drainage.,Feed lightly once a month during the growing season with a balanced fertilizer.,No misting required; foliage prefers to stay dry.,Regularly harvest flowers and remove spent blooms to encourage new growth and flowering.
damask_rose,intermediate,Rosa × damascena,وردة دمشقية,Outdoor • Flowering ,Damask rose is a traditional rose variety known for its rich fragrance and full blooms. It is widely used for rose water and essential oils.,"Water deeply 1–2 times per week, depending on heat and soil type. Keep the soil evenly moist but avoid waterlogging around the roots.",Full sun for at least 5–6 hours a day for best flowering.,10–28°C. Protect graft union and roots in very cold winters.,Prefers moderate humidity with good air circulation to reduce fungal diseases.,Feed every 4 weeks in spring and summer with a rose or flowering plant fertilizer.,Do not mist the foliage; wet leaves can encourage disease.,"Prune in late winter or early spring to remove dead wood, open the center, and shape the plant."
grape,intermediate,Vitis vinifera,عنب,Outdoor • Fruit ,Grape vines are climbing plants grown for their sweet or tangy fruit clusters. They can cover pergolas or trellises and provide shade in the garden.,"Water once a week during dry periods, giving a deep soak. Reduce watering when the plant is established and rainfall is regular.",Full sun for most of the day to ensure good fruit production.,10–30°C. Hardy varieties tolerate cooler winters when dormant.,Average outdoor humidity is fine; avoid persistent leaf wetness.,"Feed in early spring with a balanced fertilizer, then again after flowering if needed.",No misting required; keep foliage as dry as possible.,Prune annually during dormancy to manage size and encourage productive fruiting canes.
hibiscus,intermediate,Hibiscus rosa-sinensis,كركديه,Outdoor • Flowering • Tropical,"Hibiscus is a showy shrub with large, colorful flowers that attract pollinators. It brings a tropical touch to gardens and sunny balconies.","Water every 3–4 days in warm weather, keeping the soil slightly moist. In cooler periods, water once a week.","Full sun to light partial shade, with at least 4–6 hours of sun daily.",15–30°C. Protect from temperatures below 10°C.,Medium to high humidity is ideal for lush growth.,Feed every 2–3 weeks in spring and summer with a fertilizer high in potassium.,"Light misting on very hot days can help, but avoid soaking the flowers.",Prune lightly in late winter or early spring to remove weak stems and encourage branching.
